Row,DirC,IndirC
C1-1,0.25,0.25
C1-2,0.5,0.25
C1-3,0.75,0.5
C1-4,1,0.5
C1-5,1.5,0.75
C2-1,0.25,0.25
C2-2,0.5,0.25
C2-3,0.75,0.5
C2-4,1,0.75
C2-5,1.5,0.25
C3-1,0.5,0.25
C3-2,0.75,0.5
C3-3,1,0.75
C3-4,1.5,0.25
C4-1,0.5,0.25
C4-2,0.75,0.5
C4-3,1,0.75
C4-4,1.5,1.25
C5-1,0.25,0.25
C5-2,0.5,0.5
C5-3,1,0.5
C6-1,0.75,0.25
C6-2,1,0.5
C6-3,1.5,0.75
C7-1,0.25,0.25
C7-2,0.5,0.5
C7-3,1,0.5
C8-1,1,0.25
C9-1,1,0.25
C9-2,1.25,0.5
C9-3,1.5,0.75
C10-1,0.25,0.75
C10-2,0.5,1.25
C10-3,0.75,1.75
C11-1,1,0.75
C12-1,1,1.25
C12-2,1.25,1.5
C12-3,1.5,2
C13-1,0.25,0.25
C13-2,0.5,0.5
C13-3,1,0.5
C13-4,1.5,0.75
C14-1,0.75,0.25
C14-2,1,0.5
C14-3,1.25,0.75
C15-1,1,0.5
C16-1,1.25,0.5
C17-1,2,0.5
C18-1,0.75,0.75
C19-1,0.5,0.75
C19-2,1,1.25
C19-3,1.25,1.5
C19-4,1.5,1.75
C20-1,0.5,0.75
C20-2,1,1
C20-3,2,1.5
C21-1,0.5,0.75
C21-2,1,1.25
C21-3,1.25,1.5
C21-4,1.5,2.25
C22-1,0.75,0.25
C23-1,0.75,0.75
C23-2,1,1
C23-3,1.5,1
C23-4,1.75,1.5
C24-1,0.75,0.5
C24-2,1,1
C24-3,2,1.5
C24-4,4,2
C25-1,0.25,0.5
C25-2,1,0.75
C25-3,1.5,1.25
C26-1,0.25,0.5
C27-1,2,0.25
C27-2,4,0.5
